price,year,mileage,color,AGE_IN_YEARS,chevrolet,dodge,gmc,jeep,nissan,salvage insurance,black,blue,gray,no_color,silver,white,Goa,MP,Maharashtra,UP
2899,2011,190552.0,silver,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5350,2018,39590.0,silver,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
25000,2014,64146.0,blue,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
27700,2018,6654.0,red,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5700,2018,45561.0,white,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7300,2010,149050.0,black,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
13350,2017,23525.0,gray,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
14600,2018,9371.0,silver,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5250,2017,63418.0,black,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
12920,2017,39650.0,white,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
31900,2018,22909.0,black,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20700,2013,100757.0,black,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
12710,2017,25747.0,white,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
5210,2017,35714.0,white,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
38100,2013,54380.0,gray,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12520,2017,30114.0,white,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
15000,2015,61578.0,black,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
6180,2017,46010.0,blue,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20800,2013,105510.0,silver,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
11900,2017,28040.0,silver,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
4190,2017,44174.0,white,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
13000,2008,93698.0,white,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12710,2017,26364.0,silver,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
29800,1973,46226.0,red,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5330,2017,37792.0,no_color,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
13000,2003,58817.0,gray,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11900,2017,27965.0,black,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19200,2018,2430.0,white,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7000,2003,176567.0,white,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
12710,2017,30049.0,white,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
30500,2018,30442.0,red,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6330,2017,38123.0,red,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55000,2017,15273.0,black,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
12520,2017,28972.0,black,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
16200,2019,30061.0,red,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
19000,2017,18414.0,white,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5580,2017,46829.0,gray,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54000,2017,26241.0,black,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
12710,2017,39886.0,red,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
16000,2019,31594.0,silver,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7760,2017,44794.0,gray,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
12920,2017,39165.0,silver,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
13490,2017,27842.0,white,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
20700,2019,31156.0,white,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
17800,2017,52435.0,black,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
6650,2017,29942.0,black,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
12710,2017,32504.0,silver,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
21100,2019,28649.0,silver,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
18600,2017,35200.0,white,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4340,2017,25602.0,silver,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
12780,2017,31009.0,black,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
4430,2017,31792.0,black,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
12520,2017,30636.0,red,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
15900,2019,34502.0,red,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4140,2017,36732.0,black,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
12520,2017,31992.0,black,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
17900,2019,32501.0,red,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
18300,2017,28395.0,black,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4640,2017,36139.0,blue,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24000,2016,84413.0,black,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13200,2017,33457.0,white,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
18000,2019,29245.0,gray,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
14900,2017,12783.0,silver,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4140,2017,17617.0,white,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
11500,2016,36855.0,black,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
9110,2017,110316.0,white,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
